lemma,pos
a,det
abandon,v
abbey,n
ability,n
able,a
abnormal,a
abolish,v
abolition,n
abortion,n
about,adv
about,prep
above,a
above,adv
above,prep
abroad,adv
abruptly,adv
absence,n
absent,a
absolute,a
absolutely,adv
absorb,v
absorption,n
abstract,a
absurd,a
abuse,n
abuse,v
academic,a
academic,n
academy,n
accelerate,v
accent,n
accept,v
acceptable,a
acceptance,n
access,n
access,v
accessible,a
accident,n
accommodate,v
accommodation,n
accompany,v
accomplish,v
accord,n
accord,v
accordance,n
according,prep
accordingly,adv
account,n
account,v
accountability,n
accountant,n
accounting,a
accumulate,v
accumulation,n
accuracy,n
accurate,a
accurately,adv
accusation,n
accuse,v
accused,a
achieve,v
achievement,n
acid,n
acknowledge,v
acquaintance,n
acquire,v
acquisition,n
acre,n
across,adv
across,prep
act,n
act,v
action,n
activate,v
active,a
actively,adv
activist,n
activity,n
actor,n
actress,n
actual,a
actually,adv
acute,a
adapt,v
adaptation,n
add,v
added,a
addition,n
additional,a
address,n
address,v
adequate,a
adequately,adv
adjacent,a
adjective,n
adjust,v
adjustment,n
administer,v
administration,n
administrative,a
administrator,n
admiration,n
admire,v
admission,n
admit,v
adopt,v
adoption,n
adult,a
adult,n
advance,n
advance,v
advanced,a
advantage,n
adventure,n
adverse,a
advertise,v
advertisement,n
advertising,n
advice,n
advise,v
adviser,n
advisory,a
advocate,n
advocate,v
aesthetic,a
affair,n
affect,v
affection,n
affinity,n
afford,v
afraid,a
after,conj
after,prep
afternoon,n
afterwards,adv
again,adv
against,prep
age,n
age,v
aged,prep
agency,n
agenda,n
agent,n
aggregate,a
aggression,n
aggressive,a
ago,adv
agony,n
agree,v
agreed,a
agreement,n
agricultural,a
agriculture,n
ahead,adv
aid,n
aid,v
aids,n
aim,n
aim,v
air,n
aircraft,n
airline,n
airport,n
alarm,n
alarm,v
albeit,conj
album,n
alcohol,n
alert,a
alert,v
alien,a
alike,adv
alive,a
all,adv
all,det
allegation,n
allege,v
alleged,a
allegedly,adv
alliance,n
allied,a
allocate,v
allocation,n
allow,v
allowance,n
ally,n
almost,adv
alone,a
alone,adv
along,adv
along,prep
alongside,prep
aloud,adv
already,adv
alright,a
alright,adv
also,adv
altar,n
alter,v
alteration,n
alternative,a
alternative,n
alternatively,adv
although,conj
altogether,adv
aluminium,n
always,adv
amateur,a
amateur,n
amazing,a
ambassador,n
ambiguity,n
ambiguous,a
ambition,n
ambitious,a
ambulance,n
amend,v
amendment,n
amid,prep
among,prep
amongst,prep
amount,n
amount,v
amp,n
ample,a
amuse,v
amusement,n
an,det
analogy,n
analyse,v
analysis,n
analyst,n
ancestor,n
ancient,a
and,conj
angel,n
anger,n
anger,v
angle,n
angrily,adv
angry,a
animal,n
ankle,n
anniversary,n
announce,v
announcement,n
annoy,v
annual,a
annually,adv
anonymous,a
another,det
answer,n
answer,v
ant,n
antibody,n
anticipate,v
anticipation,n
anxiety,n
anxious,a
any,det
anybody,pron
anyone,pron
anything,pron
anyway,adv
anywhere,adv
apart,adv
apartment,n
apologise,v
apology,n
appalling,a
apparatus,n
apparent,a
apparently,adv
appeal,n
appeal,v
appear,v
appearance,n
appendix,n
appetite,n
apple,n
applicable,a
applicant,n
application,n
applied,a
apply,v
appoint,v
appointed,a
appointment,n
appraisal,n
appreciate,v
appreciation,n
approach,n
approach,v
appropriate,a
appropriately,adv
approval,n
approve,v
approved,a
approximately,adv
aquarium,n
arbitrary,a
arc,n
arch,n
archaeological,a
archbishop,n
architect,n
architectural,a
architecture,n
archive,n
area,n
arena,n
argue,v
argument,n
arise,v
arm,n
arm,v
armchair,n
armed,a
army,n
around,adv
around,prep
arouse,v
arrange,v
arrangement,n
array,n
arrest,n
arrest,v
arrival,n
arrive,v
arrow,n
art,n
article,n
articulate,v
artificial,a
artist,n
artistic,a
as,adv
as,conj
as,prep
ascertain,v
ash,n
ashamed,a
aside,adv
ask,v
asleep,a
aspect,n
aspiration,n
assault,n
assault,v
assemble,v
assembly,n
assert,v
assertion,n
assess,v
assessment,n
asset,n
assign,v
assignment,n
assist,v
assistance,n
assistant,a
assistant,n
associate,n
associate,v
associated,a
association,n
assume,v
assumption,n
assurance,n
assure,v
astonishing,a
asylum,n
at,prep
athlete,n
atmosphere,n
atom,n
atomic,a
attach,v
attachment,n
attack,n
attack,v
attacker,n
attain,v
attainment,n
attempt,n
attempt,v
attempted,a
attend,v
attendance,n
attention,n
attitude,n
attract,v
attraction,n
attractive,a
attribute,n
attribute,v
auction,n
audience,n
audit,n
auditor,n
aunt,n
author,n
authorise,v
authority,n
automatic,a
automatically,adv
autonomous,a
autonomy,n
autumn,n
availability,n
available,a
avenue,n
average,a
average,n
aviation,n
avoid,v
await,v
awake,a
awake,v
award,n
award,v
aware,a
awareness,n
away,adv
awful,a
awkward,a
axis,n
aye,interjection
baby,n
back,a
back,adv
back,n
back,v
background,n
backing,n
backwards,adv
bacon,n
bacteria,n
bad,a
badly,adv
bag,n
bail,n
bake,v
balance,n
balance,v
balanced,a
balcony,n
ball,n
ballet,n
balloon,n
ballot,n
ban,n
ban,v
banana,n
band,n
bang,n
bang,v
bank,n
banker,n
banking,n
bankruptcy,n
banner,n
bar,n
bar,v
bare,a
barely,adv
bargain,n
bargain,v
barn,n
barrel,n
barrier,n
base,n
base,v
basement,n
basic,a
basically,adv
basin,n
basis,n
basket,n
bass,n
bastard,n
bat,n
batch,n
bath,n
bathroom,n
battery,n
battle,n
battle,v
bay,n
be,v
beach,n
beam,n
bean,n
bear,n
bear,v
beard,n
bearing,n
beast,n
beat,n
beat,v
beautiful,a
beautifully,adv
beauty,n
because,conj
become,v
bed,n
bedroom,n
bee,n
beef,n
beer,n
before,adv
before,conj
before,prep
beg,v
begin,v
beginning,n
behalf,n
behave,v
behaviour,n
behind,adv
behind,prep
being,n
belief,n
believe,v
bell,n
belly,n
belong,v
below,adv
below,prep
belt,n
bench,n
bend,n
bend,v
beneath,prep
beneficial,a
beneficiary,n
benefit,n
benefit,v
beside,prep
besides,adv
besides,prep
best,adv
bet,n
bet,v
betray,v
better,adv
between,prep
beyond,adv
beyond,prep
bias,n
bible,n
bicycle,n
bid,n
bid,v
big,a
bike,n
bile,n
bill,n
bin,n
bind,v
binding,a
biography,n
biological,a
biology,n
bird,n
birth,n
birthday,n
biscuit,n
bishop,n
bit,n
bitch,n
bite,n
bite,v
bitter,a
bitterly,adv
bizarre,a
black,a
black,n
blade,n
blame,n
blame,v
blank,a
blanket,n
blast,n
blast,v
bleak,a
bleed,v
bless,v
blessing,n
blind,a
blink,v
block,n
block,v
bloke,n
blonde,a
blood,n
bloody,a
bloody,adv
blow,n
blow,v
blue,a
blue,n
board,n
board,v
boast,v
boat,n
bodily,a
body,n
boil,v
boiler,n
bold,a
bolt,n
bomb,n
bomb,v
bomber,n
bond,n
bone,n
bonus,n
book,n
book,v
booking,n
booklet,n
boom,n
boost,n
boost,v
boot,n
border,n
bored,a
boring,a
borough,n
borrow,v
boss,n
both,adv
both,det
bother,v
bottle,n
bottom,a
bottom,n
bounce,v
boundary,n
bourgeois,a
bow,n
bow,v
bowel,n
bowl,n
bowl,v
bowler,n
box,n
boxing,n
boy,n
boyfriend,n
bracket,n
brain,n
brake,n
branch,n
brand,n
brandy,n
brass,n
brave,a
breach,n
bread,n
break,n
break,v
breakdown,n
breakfast,n
breast,n
breath,n
breathe,v
breed,n
breed,v
breeding,n
breeze,n
brewery,n
brick,n
bride,n
bridge,n
brief,a
briefly,adv
brigade,n
bright,a
brilliant,a
bring,v
broad,a
broadcast,n
broadcast,v
broadly,adv
brochure,n
broken,a
broker,n
bronze,n
brother,n
brow,n
brown,a
brush,n
brush,v
bubble,n
bucket,n
budget,n
build,v
builder,n
building,n
bulb,n
bulk,n
bull,n
bullet,n
bulletin,n
bump,v
bunch,n
bundle,n
burden,n
bureau,n
bureaucracy,n
bureaucratic,a
burial,n
burn,n
burn,v
burning,a
burst,n
burst,v
bury,v
bus,n
bush,n
business,n
businessman,n
busy,a
but,conj
butter,n
butterfly,n
button,n
buy,v
buyer,n
by,adv
by,prep
bye,interjection
cab,n
cabin,n
cabinet,n
cable,n
cafe,n
cage,n
cake,n
calcium,n
calculate,v
calculation,n
calendar,n
calf,n
call,n
call,v
calm,a
calm,n
calm,v
calorie,n
camera,n
camp,n
campaign,n
campaign,v
can,modal
can,n
can,v
canal,n
cancel,v
cancer,n
candidate,n
candle,n
canvas,n
cap,n
capability,n
capable,a
capacity,n
capital,a
capital,n
capitalism,n
capitalist,n
captain,n
capture,v
car,n
car,v
caravan,n
carbon,n
card,n
care,n
care,v
career,n
careful,a
carefully,adv
carer,n
cargo,n
carpet,n
carriage,n
carrier,n
carrot,n
carry,v
cart,n
carve,v
case,n
cash,n
cassette,n
cast,n
cast,v
castle,n
casual,a
casualty,n
cat,n
catalogue,n
catch,n
catch,v
category,n
cater,v
cathedral,n
cattle,n
causal,a
cause,n
cause,v
caution,n
cautious,a
cave,n
cease,v
ceiling,n
celebrate,v
celebration,n
cell,n
cellar,n
cemetery,n
census,n
central,a
centre,n
centre,v
century,n
cereal,n
ceremony,n
certain,a
certainly,adv
certainty,n
certificate,n
chain,n
chair,n
chair,v
chairman,n
chalk,n
challenge,n
challenge,v
chamber,n
champagne,n
champion,n
championship,n
chance,n
chancellor,n
change,n
change,v
changing,a
channel,n
chaos,n
chap,n
chapel,n
chapter,n
character,n
characterise,v
characteristic,a
characteristic,n
characterize,v
charge,n
charge,v
charity,n
charm,n
charming,a
chart,n
charter,n
chase,n
chase,v
chat,n
chat,v
cheap,a
check,n
check,v
cheek,n
cheer,v
cheerful,a
cheese,n
chemical,a
chemical,n
chemist,n
chemistry,n
cheque,n
chest,n
chew,v
chicken,n
chief,a
chief,n
child,n
childhood,n
chimney,n
chin,n
chip,n
chocolate,n
choice,n
choir,n
choke,v
choose,v
chop,v
chord,n
chorus,n
chosen,a
chronic,a
church,n
cigarette,n
cinema,n
circle,n
circuit,n
circular,a
circular,n
circulate,v
circulation,n
circumstance,n
cite,v
citizen,n
citizenship,n
city,n
civic,a
civil,a
civilian,a
civilian,n
civilization,n
claim,n
claim,v
clarify,v
clarity,n
clash,n
class,n
classic,a
classic,n
classical,a
classification,n
classify,v
classroom,n
clause,n
clay,n
clean,a
clean,v
cleaner,n
clear,a
clear,v
clearance,n
clearing,n
clearly,adv
clergy,n
clerical,a
clerk,n
clever,a
client,n
cliff,n
climate,n
climb,n
climb,v
climber,n
cling,v
clinic,n
clinical,a
clock,n
close,a
close,adv
close,v
closed,a
closely,adv
closure,n
cloth,n
clothes,n
clothing,n
cloud,n
club,n
clue,n
cluster,n
clutch,v
co-operate,v
co-operation,n
co-operative,a
coach,n
coach,v
coal,n
coalition,n
coast,n
coastal,a
coat,n
code,n
code,v
coffee,n
coffin,n
cognitive,a
coherent,a
coin,n
coincide,v
coincidence,n
cold,a
cold,n
collaboration,n
collapse,n
collapse,v
collar,n
colleague,n
collect,v
collection,n
collective,a
collector,n
college,n
colon,n
colonel,n
colonial,a
colony,n
colour,n
colour,v
coloured,a
colourful,a
column,n
combat,v
combination,n
combine,v
combined,a
come,v
comedy,n
comfort,n
comfort,v
comfortable,a
comfortably,adv
coming,a
command,n
command,v
commander,n
commence,v
comment,n
comment,v
commentary,n
commentator,n
commerce,n
commercial,a
commission,n
commission,v
commissioner,n
commit,v
commitment,n
committee,n
commodity,n
common,a
commonly,adv
commons,n
commonwealth,n
communicate,v
communication,n
communism,n
communist,a
communist,n
community,n
compact,n
companion,n
company,n
comparable,a
comparative,a
comparatively,adv
compare,v
comparison,n
compartment,n
compatible,a
compel,v
compensate,v
compensation,n
compete,v
competence,n
competent,a
competition,n
competitive,a
competitor,n
compile,v
complain,v
complaint,n
complement,v
complementary,a
complete,a
complete,v
completely,adv
completion,n
complex,a
complex,n
complexity,n
compliance,n
complicate,v
complicated,a
complication,n
comply,v
component,n
compose,v
composer,n
composition,n
compound,n
compound,v
comprehensive,a
comprise,v
compromise,n
compromise,v
compulsory,a
compute,v
computer,n
computing,n
conceal,v
concede,v
conceive,v
concentrate,v
concentration,n
concept,n
conception,n
conceptual,a
concern,n
concern,v
concerned,a
concerning,prep
concert,n
concession,n
conclude,v
conclusion,n
concrete,a
concrete,n
condemn,v
condition,n
conduct,n
conduct,v
conductor,n
confer,v
conference,n
confess,v
confession,n
confidence,n
confident,a
confidential,a
configuration,n
confine,v
confirm,v
confirmation,n
conflict,n
conflict,v
conform,v
confront,v
confrontation,n
confuse,v
confusion,n
congratulate,v
congregation,n
congress,n
conjunction,n
connect,v
connection,n
conscience,n
conscious,a
consciousness,n
consensus,n
consent,n
consequence,n
consequently,adv
conservation,n
conservative,a
conservative,n
consider,v
considerable,a
considerably,adv
consideration,n
considering,conj
considering,prep
consist,v
consistency,n
consistent,a
consistently,adv
consolidate,v
consortium,n
conspiracy,n
constable,n
constant,a
constantly,adv
constituency,n
constituent,n
constitute,v
constitution,n
constitutional,a
constrain,v
constraint,n
construct,v
construction,n
constructive,a
consult,v
consultant,n
consultation,n
consume,v
consumer,n
consumption,n
contact,n
contact,v
contain,v
container,n
contemplate,v
contemporary,a
contemporary,n
contempt,n
contend,v
content,a
content,n
contest,n
contest,v
context,n
continent,n
continental,a
continually,adv
continuation,n
continue,v
continued,a
continuing,a
continuity,n
continuous,a
continuously,adv
contract,n
contract,v
contraction,n
contractor,n
contractual,a
contradiction,n
contrary,a
contrary,n
contrast,n
contrast,v
contribute,v
contribution,n
control,n
control,v
controlled,a
controller,n
controversial,a
controversy,n
convenience,n
convenient,a
convention,n
conventional,a
conversation,n
conversely,adv
conversion,n
convert,v
convey,v
convict,v
conviction,n
convince,v
convincing,a
cook,n
cook,v
cooking,n
cool,a
cool,v
cooperation,n
coordinate,v
cop,v
cope,v
copper,n
copy,n
copy,v
copyright,n
cord,n
core,n
corn,n
corner,n
corporate,a
corps,n
corpse,n
correct,a
correct,v
correction,n
correctly,adv
correlation,n
correspond,v
correspondence,n
correspondent,n
corresponding,a
corridor,n
corruption,n
cos,conj
cost,n
cost,v
costly,a
costume,n
cottage,n
cotton,n
cough,v
could,modal
council,n
councillor,n
counsel,n
counselling,n
counsellor,n
count,n
count,v
counter,n
counter,v
counterpart,n
country,n
countryside,n
county,n
coup,n
couple,n
couple,v
courage,n
course,adv
course,n
court,n
courtesy,n
courtyard,n
cousin,n
covenant,n
cover,n
cover,v
coverage,n
cow,n
crack,n
crack,v
craft,n
craftsman,n
crash,n
crash,v
crawl,v
crazy,a
cream,n
create,v
creation,n
creative,a
creature,n
credibility,n
credit,n
credit,v
creditor,n
creed,n
creep,v
crew,n
cricket,n
crime,n
criminal,a
criminal,n
crisis,n
criterion,n
critic,n
critical,a
criticise,v
criticism,n
criticize,v
critique,n
crop,n
crop,v
cross,n
cross,v
crossing,n
crouch,v
crowd,n
crowd,v
crown,n
crucial,a
crude,a
cruel,a
cruelty,n
crush,v
cry,n
cry,v
crystal,n
cult,n
cultivate,v
cultural,a
culture,n
cup,n
cupboard,n
cure,n
curiosity,n
curious,a
curiously,adv
curl,n
curl,v
currency,n
current,a
current,n
currently,adv
curriculum,n
curtain,n
curve,n
curve,v
cushion,n
custody,n
custom,n
customer,n
cut,n
cut,v
cutting,n
cycle,n
cylinder,n
daily,a
daily,adv
dairy,n
damage,n
damage,v
damaging,a
damn,v
damp,a
dance,n
dance,v
dancer,n
dancing,n
danger,n
dangerous,a
dare,v
dark,a
dark,n
darkness,n
darling,n
dash,v
data,n
database,n
date,n
date,v
daughter,n
dawn,n
day,n
daylight,n
dead,a
dead,adv
deadline,n
deadly,a
deaf,a
deal,n
deal,v
dealer,n
dealing,n
dear,a
dear,interjection
dear,n
death,n
debate,n
debate,v
debt,n
debtor,n
debut,n
decade,n
decay,n
decent,a
decide,v
decision,n
decision-making,n
decisive,a
deck,n
declaration,n
declare,v
decline,n
decline,v
decorate,v
decoration,n
decorative,a
decrease,n
decrease,v
decree,n
dedicate,v
deed,n
deem,v
deep,a
deep,adv
deeply,adv
deer,n
default,n
defeat,n
defeat,v
defect,n
defence,n
defend,v
defendant,n
defender,n
defensive,a
deficiency,n
deficit,n
define,v
definite,a
definitely,adv
definition,n
defy,v
degree,n
delay,n
delay,v
delegate,n
delegation,n
delete,v
deliberate,a
deliberately,adv
delicate,a
delicious,a
delight,n
delight,v
delighted,a
delightful,a
deliver,v
delivery,n
demand,n
demand,v
democracy,n
democrat,n
democratic,a
demolish,v
demonstrate,v
demonstration,n
demonstrator,n
denial,n
denounce,v
dense,a
density,n
dentist,n
deny,v
depart,v
department,n
departmental,a
departure,n
depend,v
dependence,n
dependency,n
dependent,a
depending,a
depict,v
deploy,v
deposit,n
deposit,v
depot,n
depressed,a
depression,n
deprivation,n
deprive,v
depth,n
deputy,n
derive,v
descend,v
descent,n
describe,v
description,n
desert,n
desert,v
deserve,v
design,n
design,v
designate,v
designer,n
desirable,a
desire,n
desire,v
desired,a
desk,n
desktop,n
despair,n
desperate,a
desperately,adv
despite,prep
destination,n
destiny,n
destroy,v
destruction,n
detail,n
detailed,a
detain,v
detect,v
detection,n
detective,n
detector,n
detention,n
deter,v
deteriorate,v
determination,n
determine,v
determined,a
develop,v
developed,a
developer,n
developing,a
development,n
deviation,n
device,n
devil,n
devise,v
devote,v
devoted,a
diagnose,v
diagnosis,n
diagram,n
dialogue,n
diameter,n
diamond,n
diary,n
dictate,v
dictionary,n
die,v
diet,n
differ,v
difference,n
different,a
differential,a
differentiate,v
differentiation,n
differently,adv
difficult,a
difficulty,n
dig,v
digital,a
dignity,n
dilemma,n
dimension,n
diminish,v
dine,v
dining,n
dinner,n
dioxide,n
dip,v
diplomat,n
diplomatic,a
direct,a
direct,adv
direct,v
direction,n
directive,n
directly,adv
director,n
directory,n
dirt,n
dirty,a
disability,n
disabled,a
disadvantage,n
disagree,v
disagreement,n
disappear,v
disappoint,v
disappointment,n
disaster,n
disastrous,a
disc,n
discard,v
discharge,n
discharge,v
disciplinary,a
discipline,n
discipline,v
disclose,v
disclosure,n
disco,n
discount,n
discount,v
discourage,v
discourse,n
discover,v
discovery,n
discretion,n
discrimination,n
discuss,v
discussion,n
disease,n
disguise,v
dish,n
disk,n
dislike,v
dismiss,v
dismissal,n
disorder,n
disperse,v
display,n
display,v
disposal,n
dispose,v
disposition,n
dispute,n
dispute,v
disrupt,v
disruption,n
dissolve,v
distance,n
distant,a
distinct,a
distinction,n
distinctive,a
distinctly,adv
distinguish,v
distinguished,a
distort,v
distortion,n
distract,v
distress,n
distribute,v
distributed,a
distribution,n
distributor,n
district,n
disturb,v
disturbance,n
dive,v
diverse,a
diversity,n
divert,v
divide,v
dividend,n
divine,a
division,n
divorce,n
divorce,v
do,v
dock,n
doctor,n
doctrine,n
document,n
document,v
documentation,n
dog,n
doing,n
doll,n
dollar,n
dolphin,n
domain,n
dome,n
domestic,a
dominance,n
dominant,a
dominate,v
domination,n
donate,v
donation,n
donor,n
door,n
doorway,n
dose,n
dot,n
double,a
double,n
double,v
doubt,n
doubt,v
doubtful,a
doubtless,adv
down,adv
down,prep
downstairs,adv
dozen,n
draft,n
draft,v
drag,v
dragon,n
drain,n
drain,v
drainage,n
drama,n
dramatic,a
dramatically,adv
draw,n
draw,v
drawer,n
drawing,n
dreadful,a
dream,n
dream,v
dress,n
dress,v
dressing,n
drift,n
drift,v
drill,n
drill,v
drink,n
drink,v
drive,n
drive,v
driver,n
driving,a
drop,n
drop,v
drown,v
drug,n
drug,v
drum,n
drunk,a
dry,a
dry,v
dual,a
duck,n
due,a
duke,n
dull,a
duly,adv
dump,v
duration,n
during,prep
dust,n
duty,n
dwelling,n
dynamic,a
each,det
eager,a
eagle,n
ear,n
earl,n
early,a
early,adv
earn,v
earning,n
earth,n
ease,n
ease,v
easily,adv
east,n
eastern,a
easy,a
easy,adv
eat,v
echo,n
echo,v
economic,a
economically,adv
economics,n
economist,n
economy,n
edge,n
edit,v
edition,n
editor,n
educate,v
education,n
educational,a
effect,n
effect,v
effective,a
effectively,adv
effectiveness,n
efficiency,n
efficient,a
efficiently,adv
effort,n
egg,n
ego,n
either,adv
either,det
elaborate,a
elbow,n
elder,n
elderly,a
elect,v
elected,a
election,n
electoral,a
electorate,n
electric,a
electrical,a
electricity,n
electron,n
electronic,a
electronics,n
elegant,a
element,n
elephant,n
eligible,a
eliminate,v
elite,n
else,adv
elsewhere,adv
embark,v
embarrassed,a
embarrassing,a
embarrassment,n
embassy,n
embody,v
embrace,v
embryo,n
emerge,v
emergence,n
emergency,n
emission,n
emotion,n
emotional,a
emperor,n
emphasis,n
emphasise,v
emphasize,v
empire,n
empirical,a
employ,v
employee,n
employer,n
employment,n
empty,a
empty,v
enable,v
enclose,v
encompass,v
encounter,n
encounter,v
encourage,v
encouragement,n
encouraging,a
end,n
end,v
ending,n
endless,a
endorse,v
endure,v
enemy,n
energy,n
enforce,v
enforcement,n
engage,v
engagement,n
engine,n
engineer,n
engineering,n
enhance,v
enhanced,a
enjoy,v
enjoyable,a
enjoyment,n
enormous,a
enormously,adv
enough,adv
enough,det
enquire,v
enquiry,n
ensure,v
entail,v
enter,v
enterprise,n
entertain,v
entertainment,n
enthusiasm,n
enthusiast,n
enthusiastic,a
entire,a
entirely,adv
entitle,v
entitlement,n
entity,n
entrance,n
entry,n
envelope,n
environment,n
environmental,a
envisage,v
enzyme,n
episode,n
equal,a
equal,v
equality,n
equally,adv
equation,n
equilibrium,n
equip,v
equipment,n
equity,n
equivalent,a
equivalent,n
era,n
erect,v
erosion,n
error,n
escape,n
escape,v
especially,adv
essay,n
essence,n
essential,a
essentially,adv
establish,v
established,a
establishment,n
estate,n
estimate,n
estimate,v
estimated,a
eternal,a
ethical,a
ethics,n
ethnic,a
evaluate,v
evaluation,n
even,adv
evening,n
event,n
eventual,a
eventually,adv
ever,adv
every,det
everybody,pron
everyday,a
everyone,pron
everything,pron
everywhere,adv
evidence,n
evident,a
evidently,adv
evil,a
evil,n
evoke,v
evolution,n
evolutionary,a
evolve,v
exact,a
exactly,adv
exaggerate,v
exam,n
examination,n
examine,v
example,n
excavation,n
exceed,v
excellent,a
except,conj
except,prep
exception,n
exceptional,a
exceptionally,adv
excess,a
excess,n
excessive,a
exchange,n
exchange,v
excite,v
excited,a
excitement,n
exciting,a
exclaim,v
exclude,v
exclusion,n
exclusive,a
exclusively,adv
excuse,n
excuse,v
execute,v
execution,n
executive,a
executive,n
exemption,n
exercise,n
exercise,v
exert,v
exhaust,v
exhibit,v
exhibition,n
